<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141118,000000,1187.2,1204.1,1180.8,1200.7,142600
20141119,000000,1200.6,1202.7,1191,1199.9,115740
20141120,000000,1199.9,1201.7,1173.9,1195.6,239590
20141121,000000,1195.7,1201.1,1185.8,1193.8,134421
20141122,000000,1193.8,1207.6,1190.7,1201.5,109944
20141124,000000,1199.4,1203.3,1193.4,1194.8,19801
20141125,000000,1194.9,1202.2,1192.2,1200.9,77606
20141126,000000,1201,1202.2,1189,1195.3,71930
20141127,000000,1195.3,1199,1184.7,1195.2,17144
20141128,000000,1194.8,1196.2,1180.6,1180.8,1403
20141129,000000,1180.8,1187.3,1163.8,1167,4082
20141201,000000,1159.1,1183,1141.7,1172.5,112251
20141202,000000,1172.5,1221,1168,1200.1,248585
20141203,000000,1200.1,1208,1191.4,1203.8,129041
20141204,000000,1203.8,1215,1199.1,1202.9,94548
20141205,000000,1202.9,1213.5,1201.1,1204,102297
20141206,000000,1203.9,1208.5,1186.4,1192.6,111352
20141208,000000,1191.2,1198.7,1187.3,1195.2,28282
20141209,000000,1195.3,1209.3,1191.5,1205.7,97138
20141210,000000,1205.8,1239,1204.5,1227.3,221615
20141211,000000,1227.3,1235.1,1218.2,1222.2,126958
20141212,000000,1222.1,1232.6,1216.4,1225.7,114531
20141213,000000,1225.9,1227.2,1214.8,1222.1,76556
20141215,000000,1221.5,1225,1210.2,1211.2,37791
20141216,000000,1211.3,1217.9,1191.3,1199.1,138946
20141217,000000,1199.2,1223.9,1187.8,1197.6,188430
20141218,000000,1197.7,1213.9,1182,1208.8,163932
20141219,000000,1208.8,1210.9,1192.7,1197.6,99080
20141220,000000,1197.6,1200.6,1193.8,1194.5,35956
20141222,000000,1196,1202.3,1193.8,1196.9,24168
20141223,000000,1197,1198.3,1170.7,1179.5,112683
20141224,000000,1179.7,1181.3,1172.4,1176.8,69905
20141225,000000,1176.7,1179.1,1172.7,1175.2,20730
20141226,000000,1175.2,1198.9,1175.2,1197.5,28841
20141227,000000,1197.5,1199.1,1192.2,1196.1,34194
20141229,000000,1194.9,1197.5,1192.1,1192.8,19424
20141230,000000,1192.7,1195.7,1178.6,1187.2,88399
20141231,000000,1187.2,1210.9,1182.3,1198.7,103726
20150101,000000,1198.8,1199.9,1179.5,1183.2,51741
20150102,000000,1184,1188.2,1181.1,1182.5,11199
20150103,000000,1182.5,1194.9,1167.3,1189.8,86630
20150105,000000,1187.8,1198,1177.8,1189.5,39743
20150106,000000,1189.5,1214.4,1186.5,1211,136313
20150107,000000,1211,1223.3,1205.4,1213.4,142706
20150108,000000,1213.4,1216.9,1204.9,1206.4,102701
20150109,000000,1206.2,1216.8,1204.2,1212,89842
20150110,000000,1212,1224,1207,1223.4,94234
20150112,000000,1223,1230.5,1217.5,1220.9,40390
20150113,000000,1220.8,1244.5,1218.1,1239.4,127560
20150114,000000,1239.4,1243.3,1224.9,1229.2,139344
20150115,000000,1229.2,1250.9,1226.1,1250.1,189165
20150116,000000,1250.1,1267.2,1248.6,1258.4,218159
20150117,000000,1258.4,1282.3,1257.2,1280.3,129010
20150119,000000,1280.7,1282,1274.6,1277,30063
20150120,000000,1277,1294.3,1272.1,1291.4,81511
20150121,000000,1291.5,1303.7,1284.9,1297.8,154849
20150122,000000,1297.8,1307,1283.3,1286.6,165813
20150123,000000,1286.7,1307.8,1279.1,1294.7,174096
20150124,000000,1294.6,1299.8,1284.3,1294.1,75675
20150126,000000,1292.8,1299.2,1280,1283.1,45795
20150127,000000,1283,1287.5,1272,1279.9,108180
20150128,000000,1280,1297.4,1279,1288.1,98078
20150129,000000,1288.1,1292.7,1271.2,1274.8,64800
20150130,000000,1275.2,1276.2,1251,1265.7,48959
20150131,000000,1265.6,1285.4,1258.1,1283.7,112556
20150202,000000,1282.6,1283.9,1274.1,1276.6,27133
20150203,000000,1276.5,1286.5,1266.5,1281.8,120270
20150204,000000,1281.9,1283.1,1255.8,1269.2,165718
20150205,000000,1269.1,1274.6,1259.5,1260.9,115315
20150206,000000,1260.9,1269,1256.1,1265.1,86356
20150207,000000,1265.1,1267.2,1228.2,1233.3,165654
20150209,000000,1235.9,1243.6,1234.4,1241.3,33348
20150210,000000,1241.4,1245.9,1236,1237.9,73355
20150211,000000,1237.9,1240,1230.6,1234,85665
20150212,000000,1233.9,1238.1,1216.5,1222.9,127704
20150213,000000,1223,1230.9,1219.2,1224.6,84863
20150214,000000,1224.7,1234.9,1223,1227.9,60331
20150216,000000,1227.5,1236.7,1227,1233.2,18711
20150217,000000,1233.2,1234.7,1219.6,1221.6,51154
20150218,000000,1221.6,1225.2,1202,1203.9,118958
20150219,000000,1204,1221,1197.2,1219.1,113927
20150220,000000,1219.2,1222.9,1201.2,1203.7,92561
20150221,000000,1203.7,1215.3,1197.7,1203.4,77592
20150223,000000,1203.5,1204.7,1190.6,1192.9,32412
20150224,000000,1192.8,1210.3,1192.4,1198,93187
